date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:48	32862/32862	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202019%2006:11:17%20GMT	https://www.experiencecommerce.com/showcase/castrol	D:/websites/travel_theme/yugen/www.experiencecommerce.com/showcase/castrol.html	(from https://www.experiencecommerce.com/)
11:39:48	79250/79250	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Oct%202018%2010:02:38%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-10/lenovoBg.jpg	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-10/lenovoBg.jpg	(from https://www.experiencecommerce.com/)
11:39:48	455155/455155	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Oct%202018%2016:57:32%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-10/Lenovo.png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-10/Lenovo.png	(from https://www.experiencecommerce.com/)
11:39:48	5403/5403	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Sep%202018%2010:11:06%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-09/Client_lenovo_logo.png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-09/Client_lenovo_logo.png	(from https://www.experiencecommerce.com/)
11:39:48	5977/5977	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Nov%202018%2013:32:10%20GMT	https://www.experiencecommerce.com/themes/bootstrap/images/showcase/brand1.png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/themes/bootstrap/images/showcase/brand1.png	(from https://www.experiencecommerce.com/)
11:39:48	440/440	---M--	302	error ('Found')	text/html	date:Sat,%2020%20Apr%202019%2006:11:18%20GMT	https://www.experiencecommerce.com//showcase/a6000	D:/websites/travel_theme/yugen/www.experiencecommerce.com/showcase/a6000	(from https://www.experiencecommerce.com/)
11:39:49	37046/37046	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202019%2006:11:18%20GMT	https://www.experiencecommerce.com/showcase/a6000	D:/websites/travel_theme/yugen/www.experiencecommerce.com/showcase/a6000.html	(from https://www.experiencecommerce.com/)
11:39:49	145026/145026	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Oct%202018%2010:02:16%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-10/mrfBg_0.jpg	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-10/mrfBg_0.jpg	(from https://www.experiencecommerce.com/)
11:39:49	2360/2360	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Sep%202018%2010:08:56%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-09/Client_mrf_logo.png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-09/Client_mrf_logo.png	(from https://www.experiencecommerce.com/)
11:39:49	515169/515169	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Oct%202018%2016:55:38%20GMT	https://www.experiencecommerce.com/sites/default/files/2018-10/MRF.png	D:/websites/travel_theme/yugen/www.experiencecommerce.com/sites/default/files/2018-10/MRF.png	(from https://www.experiencecommerce.com/)
